,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],c_pxx_filler[1],c_pxx_filler[2],c_pxx_filler[3],c_pxx_filler[4],c_pxx_filler[5],c_pxx_filler[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_pe_filler,c_ke_filler,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer,c_temp_filler
22,460000,460,0.9988338,0.015927629,11.07284,1.498241,14.555967,12.571081,-3.4831267999999995,2590.7562,54.618821,52.82753100000001,52.82753100000001,0.049620245,0.06955919,-0.071396549,0.093933459,-0.0036471482,0.072438422,2434.9574,209300.47,0.022999997452746213,687.207,-1145.51,-1075.54,-260.79200000000003,-143.924,429.155,3965.82,935.947,1163.99,124.166,179.308,-227.125,0.030224274114972395,-0.0013612406625527769,0.0005745371873985063,-0.0008874699577784997,0.00022984085742124057,0.0013123091912958752,1689200.0,153667,14500.9,77303.7,230970.7,1703700.9,3156.72,450.0,0.022499995879442413,1.0001978997510015,0.9994601626016261,1.001667638483965
23,480000,480,0.99741755,-0.059191655999999995,11.064343,1.4961166000000001,14.549295,12.56046,-3.4849516000000005,4379.3022,54.672212,52.780570999999995,52.780570999999995,-0.036113883,-0.041976362,-0.099484722,0.062993854,0.047247500000000005,-0.024148934,2542.7345,209351.81,0.024000000599353945,727.113,-852.957,-434.316,185.645,50.831,69.8859,3762.31,1622.79,-50.6941,160.74,-707.877,-24.405,0.029161565443325755,0.005000539136083144,-0.0031504391036050665,0.002249983760961351,-0.004267918155245209,0.00029542643715492044,1689170.0,153549,14392.4,77121.4,230670.4,1703562.4,3754.01,470.0,0.023499999026050145,0.9988974775359966,0.9986926829268292,0.9993054745707807
24,500000,500,0.99982877,-0.041358657,11.072362,1.4997334,14.555031,12.572095,-3.4826697999999996,2745.1024,54.725603,52.754923,52.754923,-0.10965470000000001,-0.00045908822,-0.013962182,-0.019897375,0.037664344,-0.019794463,2649.4132,209303.64,0.025000003745961546,1272.09,-573.726,-265.512,-427.975,-425.51099999999997,732.433,3881.92,-528.253,1328.81,175.81900000000002,-66.4903,923.779,0.03347846703475155,-0.007158031828515752,0.006906774926924326,-0.0016379084118220203,-0.003195851250405976,0.010758116271516726,1689740.0,153797,14403.8,77048.6,230845.6,1704143.8,3147.1,490.0,0.024500002172657746,0.9996561654216738,1.0003056910569106,0.9983621639131844
25,520000,520,0.99724123,-0.011260456,11.069397,1.4958521,14.553969,12.565249,-3.4845726999999997,3950.2281,54.778994,52.730084999999995,52.730084999999995,0.013316608999999998,-0.020045147,-0.027052829,-0.021753315,-0.02105247,0.015347653000000001,2755.5829,209212.34,0.026000006892569146,-926.0110000000001,-1075.03,-778.3710000000001,359.73,-447.885,730.512,2375.71,1259.78,738.923,771.383,-839.171,866.578,0.009416687236115622,0.0012000649561545956,-0.0002562390386489126,0.007347275089314713,-0.008360220850925625,0.010374082494316336,1689450.0,153877,14227.7,77023.1,230900.1,1703677.7,3718.04,510.0,0.025500005319265346,0.9998921727833712,1.0008260162601625,0.9980317460317462
26,540000,540,0.99862653,-0.07257412099999999,11.073714,1.4979301,14.555401000000002,12.571644000000001,-3.4816865,3116.3352,54.832384999999995,52.725559,52.725559,-0.09695237699999999,-0.069899483,-0.050870503,0.10058279,0.034774388999999996,-0.055097640999999996,2861.4401,209097.08,0.027000010039176747,-909.842,-2052.5,-693.2719999999999,140.55700000000002,-482.644,347.375,1919.36,1053.39,1518.56,344.787,-959.002,55.8469,0.006557440727508931,-0.0064898343618057805,0.00536075349139331,0.0031526079896070152,-0.009364378044819746,0.0026191744072750892,1689480.0,153879,14319.7,77064.7,230943.7,1703799.7,3696.57,530.0,0.026500008465872946,1.0000809786727294,1.0008390243902439,0.9985707806932297
27,560000,560,0.998029,-0.02016179,11.063007,1.4970338,14.549822,12.560039999999999,-3.4868151,5054.6118,54.885776,52.6731,52.6731,-0.038877629,0.036382563,-0.057990304000000006,0.062407999000000006,0.070826686,0.020602774,2968.5028,209067.41,0.02800001318578448,482.402,-1091.28,-1261.55,284.93,-376.342,764.1110000000001,2653.67,1564.23,849.4169999999999,590.518,-386.667,547.707,0.020370717765508282,0.0030721013316011695,-0.0026770574861968172,0.00568657356284508,-0.004956213056187074,0.00852106528093537,1689590.0,153799,14232.3,76937.4,230736.4,1703822.3,4036.2,550.0,0.02750001161248068,0.9991832846162174,1.000318699186992,0.9969212827988337
28,580000,580,1.0001756,-0.014296048,11.06733,1.5002536,14.555219000000001,12.567584,-3.4878891000000003,4046.2878,54.939166,52.649255000000004,52.649255000000004,-0.016763588,0.026793222000000002,-0.05291778,0.051806437000000004,0.06482515,-0.072576704,3075.5934,209034.3,0.02899999760258473,-61.0971,-800.535,-1357.62,-243.11900000000003,-478.77,855.3889999999999,2366.84,1564.63,343.217,-248.36900000000003,-357.43800000000005,423.94800000000004,0.01497721922702176,0.004963267294576162,-0.006589171809028905,-0.0031925170509905817,-0.005431685612211757,0.008310081195193244,1689750.0,153983,14182.2,76982.5,230965.5,1703932.2,3854.3,570.0,0.02849999602928093,1.0001753816174082,1.0015154471544716,0.9975056689342403
29,600000,600,0.99965906,0.002987869,11.070623,1.4994789,14.555176999999999,12.570102,-3.484554,3810.8437,54.992557,52.615021999999996,52.615021999999996,-0.0072259256000000004,-0.039221302,0.055410834000000006,0.054933434,0.020059483,0.050240424000000006,3181.5006,208918.54,0.030000000749192332,238.709,-869.7919999999999,-577.091,579.705,-143.4,275.289,2641.75,1015.99,484.223,570.658,-450.824,-290.965,0.018710354011042544,0.0009496459889574543,-0.0006032348164988632,0.007472315686911335,-0.0038598506008444304,-0.00010182526794413763,1689740.0,153932,14143.3,76920.6,230852.6,1703883.3,4166.06,590.0,0.029499999175888532,0.9996864782938184,1.0011837398373984,0.9967035957240039
30,620000,620,0.99907419,-0.043154625999999995,11.065836000000001,1.4986016000000002,14.5538,12.564437,-3.4879641,4834.6953,55.045947999999996,52.588411,52.588411,-0.044228777999999996,-0.071863905,-0.013371194,-0.023437402000000003,-0.088411957,-0.04096869,3287.0574,208781.16,0.031000003895799932,-791.7869999999999,-1876.76,-1217.59,-64.3639,-453.61,732.564,2550.58,794.8610000000001,2098.99,213.15400000000002,-119.15899999999999,346.412,0.011424443000974343,-0.00702759987008769,0.0057252354660604085,0.0009664832737901918,-0.0037204871711594674,0.007008613186099382,1689530.0,153947,14119.7,76886.5,230833.5,1703649.7,4565.59,610.0,0.030500002322496132,0.9996037674569666,1.0012813008130081,0.996261742792355
31,640000,640,0.99757015,-0.087550184,11.070784,1.4963454999999999,14.553142000000001,12.567129,-3.4823583,4573.5175,55.099339,52.605337,52.605337,-0.053714845,-0.16374177,-0.045193935,-0.17703548,0.042670919,0.067012927,3393.4408,208696.61,0.032000007042407665,653.52,-816.3710000000001,-264.168,37.8466,306.447,354.349,3796.66,430.611,863.6239999999999,-232.791,48.5324,351.29,0.028906658005846055,-0.0025057486196817156,0.0038938356609288724,-0.001266283858395583,0.0023058096784670345,0.004583559597271841,1689550.0,153727,14381.2,77148.8,230875.8,1703931.2,4400.72,630.0,0.031500005469103864,0.9997869438129262,0.9998504065040651,0.9996605118237771
